"ID"	"Type"	"Name"	"Documentation"	"Specialization"
"id-6a04be8764ea4e4f84b1a5f16fafeac7"	"ArchimateModel"	"CoopeAnde"	""	""
"id-26a3a714964c4041a61cf561827a7b8c"	"BusinessActor"	"Asociados"	""	""
"id-dde206e43fc740f0a46c01094d27fdda"	"BusinessActor"	"Todos los Asociados"	""	""
"id-bcddb472a50b44db846dc7c650ae6925"	"BusinessActor"	"Todos los usuarios Internos"	""	""
"id-3ea280454d214c64a0b209afccb66404"	"BusinessActor"	"Usuarios Internos"	""	""
"id-da202095af804ffe9bcab7f13f89e7e3"	"BusinessCollaboration"	""	""	""
"id-326212a745c24f00a761ecb6e0e46a60"	"BusinessFunction"	"Administración de Cartera de Credito"	""	""
"id-9d504940bf6049cc913e35408dc23a08"	"BusinessFunction"	"Adquisiciones"	""	""
"id-4235e8410cda404dabb99e56e955b6fa"	"BusinessFunction"	"Análisis y Diseño"	""	""
"id-6dddf7fa04234905914c18a9714c78d3"	"BusinessFunction"	"Business Function"	""	""
"id-6a7326524f0b41d78fa5bd694fbb6a36"	"BusinessFunction"	"Canales de Negocio"	""	""
"id-593466ae34904094acda8a8619d94436"	"BusinessFunction"	"Excelencia Operacional"	""	""
"id-7d61a8d17d3d428fb399e35ec88a9cad"	"BusinessFunction"	"Gestion de Seguridad"	""	""
"id-fa7a9944b67940acad7d98de507ca9d8"	"BusinessFunction"	"Gestion de T.I."	""	""
"id-d1bda9f4c7f94fc28761d604fa3d86e7"	"BusinessFunction"	"Gestion del Ciclo de Vida del Asociado"	""	""
"id-cc04ca8520ef4f258704adf5bb19a9bd"	"BusinessFunction"	"Gestión Contable"	""	""
"id-ba9384afb9b64aafa10fd1fd0f8eeb1b"	"BusinessFunction"	"Gestión de Credito y Bonos de Vivienda"	""	""
"id-dfab0d8bf78e437d960a1b1f395e5785"	"BusinessFunction"	"Gestión de Talento Humano"	""	""
"id-e617c5e828764b5ab63f736e2e6dbfd3"	"BusinessFunction"	"Gestión de Tesoreria"	""	""
"id-e6d019a7dab249d891966b0418d01cae"	"BusinessFunction"	"Gestión Estrategica"	""	""
"id-d825ae5e150048c3958da9ddafc9c400"	"BusinessFunction"	"Gestión Integral de Riesgos"	""	""
"id-8faad619b79b4100a1fd2ece7e3cb571"	"BusinessFunction"	"Gobierno Corporativo"	""	""
"id-c276cde451b94bbd866de06dd9e88f07"	"BusinessInteraction"	"Agencias"	""	""
"id-8f18cfecbcec45fea30995ee3d0b6914"	"BusinessInteraction"	"Asesores"	""	""
"id-93fcfc6844404362a09252277b3ae16b"	"BusinessInteraction"	"Business Interaction"	""	""
"id-d80704c6afc045ff894db0be61c7f633"	"BusinessInteraction"	"Business Interaction"	""	""
"id-a65247d9b9e84d258f580a9bfd2f9db7"	"BusinessInteraction"	"Call Center"	""	""
"id-ecbac06fb7f343eca90b875a26122eb4"	"BusinessProcess"	"Administracion de Bienes Adjudicados"	""	""
"id-e907c883e95e499c806969157e2211b8"	"BusinessProcess"	"Administracion del Sistema Integrado de Gestion"	""	""
"id-e7b3c06a87ea4ca398a25a70e534ef60"	"BusinessProcess"	"Administración de Cartera de Credito"	""	""
"id-c3f8c53d30b340478d2069fb638ba32f"	"BusinessProcess"	"Administración del Personal"	""	""
"id-629289516ce34c35836d4a1b490bf856"	"BusinessProcess"	"Adquisición de bienes y servicios"	""	""
"id-ac89f2a01b824bdbbf7a39a647df903f"	"BusinessProcess"	"Análisis Financiero"	""	""
"id-2c670d74940e4361b426ba14686c872e"	"BusinessProcess"	"Análisis y Diseño"	""	""
"id-89a13926674e47c0b17fc5a3a5df77a3"	"BusinessProcess"	"Capacidad y Disponibilidad"	""	""
"id-9e6537d95f044dfdaf888d4286cbfc95"	"BusinessProcess"	"Colocación de productos y servicios"	""	""
"id-e200360fb7fa404fa47aff50340cfaa0"	"BusinessProcess"	"Construcción y Transición"	""	""
"id-d2e8234e4e8d478fa6b4330fa827113f"	"BusinessProcess"	"Control de Seguridad TI"	""	""
"id-660092bd350947bd816976e060d87fc8"	"BusinessProcess"	"Control y Aseguramiento de Calidad"	""	""
"id-5422e16dab6147c09f3e998fd3d6addb"	"BusinessProcess"	"Dirección y Control Organizacional"	""	""
"id-fec2d90d36224d3688f01e78e4d07745"	"BusinessProcess"	"Fidelización y Retención"	""	""
"id-84ee2e9ff4ae41a1b91ac25b3e16e6ce"	"BusinessProcess"	"Formación del personal de Agencias"	""	""
"id-9da28c9cc3c14001b1a9752b1d65d38c"	"BusinessProcess"	"Gestion de Servicios"	""	""
"id-d1d823b08be747c4904eae6e5e9adbeb"	"BusinessProcess"	"Gestión de Activos"	""	""
"id-a2db4f5a45e4462499592a786375485c"	"BusinessProcess"	"Gestión de Activos y Leasing"	""	""
"id-694b30f4320d4d57ac9385566087653d"	"BusinessProcess"	"Gestión de Bono Familiar de Vivienda"	""	""
"id-d5d64ef5f1a14fb3a181155d3fce4562"	"BusinessProcess"	"Gestión de Calidad de Procesos y Servicios"	""	""
"id-bdab11921b6e4385a3e02d71c6db156e"	"BusinessProcess"	"Gestión de Cambios y Configuración"	""	""
"id-e0c97e1fef7d40389fdcc1784d19f4f5"	"BusinessProcess"	"Gestión de Capital Social"	""	""
"id-41d632b68b5c4e61ba024f533ec9a8ff"	"BusinessProcess"	"Gestión de Cobro"	""	""
"id-d2c0209d662144d8828172516d22cca6"	"BusinessProcess"	"Gestión de Credito"	""	""
"id-54c4fe810f674738920cd9c4640c556a"	"BusinessProcess"	"Gestión de cuentas corrientes y movimientos bancarios"	""	""
"id-420b8be6203e420b996fc5d0bde9d880"	"BusinessProcess"	"Gestión de Cumplimiento Normativo"	""	""
"id-90fb9aa1603d42449961fe6ae5442ddf"	"BusinessProcess"	"Gestión de Custodia"	""	""
"id-c9d498d5d58e44cdb67285afe7d14587"	"BusinessProcess"	"Gestión de Fondeo Institucional"	""	""
"id-8056c77f610a49d79708050c8a341a7b"	"BusinessProcess"	"Gestión de Fondos de Caja"	""	""
"id-b7d88d50ca804434b4a2fec6a3df01b4"	"BusinessProcess"	"Gestión de la Contabilidad"	""	""
"id-bceaa16202f44d3bacbb9ac681da7572"	"BusinessProcess"	"Gestión de la Continuidad del Negocio"	""	""
"id-03ce5791bbf04015a7caf535482281e7"	"BusinessProcess"	"Gestión de Liquidacion de Gastos"	""	""
"id-e649a48f71c64344a575bf5492393b9b"	"BusinessProcess"	"Gestión de Mantenimiento Preventivo y Correctivo"	""	""
"id-e1f00395d39f4efb82af08c3b7e3494a"	"BusinessProcess"	"Gestión de Portal de Inversiones"	""	""
"id-751841dd2f2d4b42aa64ca1685d1432a"	"BusinessProcess"	"Gestión de Presupuesto"	""	""
"id-17932947f2f24c5a895c99cd5fc35094"	"BusinessProcess"	"Gestión de Programas y Proyectos"	""	""
"id-788c271c7dea454caf658ef7f763d0a2"	"BusinessProcess"	"Gestión de riesgos Financieros y no Financieros"	""	""
"id-ba6e84decd7c46a8bafec51992addf08"	"BusinessProcess"	"Gestión de Riesgos PLC/FT"	""	""
"id-02b925f73cfd4175a3e87d6b89d62961"	"BusinessProcess"	"Gestión de Seguridad de la Informacion"	""	""
"id-4f6352f4ac394f12a57c41903e8da501"	"BusinessProcess"	"Gestión de Seguridad Tecnologica"	""	""
"id-bd8b03117f624081ba385edc9ae60698"	"BusinessProcess"	"Gestión de Seguros"	""	""
"id-a8a47021e39f45f38b2915af77a3b3a2"	"BusinessProcess"	"Gestión de Servicios de Agencias"	""	""
