"ID"	"Type"	"Name"	"Documentation"	"Source"	"Target"	"Specialization"
"id-abc5ddbfddc44a47b4c44832d3ee7e02"	"AccessRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-bc4e28a262ce4f98aaeee2cf0cb04816"	""
"id-a3460670656342c286d3ded647e12b2c"	"AccessRelationship"	""	""	"id-447152e57f18484fb6a5dc46651e28ae"	"id-7f2a16be767541d690eea4f8e95c27cf"	""
"id-52699a77c0184e0aa26df8f75c0575e0"	"AccessRelationship"	""	""	"id-e8eee5151e97443884813e6d105ae17f"	"id-48322fd5bdb44942a4e1228de24cdf28"	""
"id-7e83b8be5a3049c9923896824f1e3f9c"	"AccessRelationship"	""	""	"id-1daa06c809a9468d8ffc9bf59ea6fa60"	"id-0340b153db5e4516b128a2c470c216c7"	""
"id-fa37fe328f974472916ebe5cf29cd908"	"AccessRelationship"	""	""	"id-b14a301ec94e4b1581fd0f604a5da1ba"	"id-90eb302fd784418db7b5cf8bcfed34b3"	""
"id-64a864b9bd0b4a7bb55b9ff8941c0754"	"AccessRelationship"	""	""	"id-60ac7a67a5a84d5cb4275fc70ca6ad11"	"id-f2ca3416b8274555859ed28aa4d60c4c"	""
"id-aa4a61214aed40f6991cbe5df515cac4"	"AggregationRelationship"	""	""	"id-ea93fd36ab234bf8bed04f1e61ec54ab"	"id-bf7c3484622440ad85c3270f8b3d656e"	""
"id-6b7a5e76ef894e4dace054be9b84ac62"	"AggregationRelationship"	""	""	"id-ea93fd36ab234bf8bed04f1e61ec54ab"	"id-34fd6363a7fa4330bff4fe96110789d5"	""
"id-1e7e3235e1964bb1b669107982acfa83"	"AggregationRelationship"	""	""	"id-996995356116460bb837b8dcff56028a"	"id-2e18bd8f0ca7425a9d776828f46ffb88"	""
"id-b42ea23b0b8741fdb0f37eed51e74cc8"	"AggregationRelationship"	""	""	"id-996995356116460bb837b8dcff56028a"	"id-ab8cf14ceda14a35a97d69c6499634fb"	""
"id-b04030181a9c4b02abfc60dd6ab4f617"	"AggregationRelationship"	""	""	"id-996995356116460bb837b8dcff56028a"	"id-acc7535f47bc4c6ea753c5b708b65c5d"	""
"id-4f481f0817fd481aa38eacfe430d3995"	"AggregationRelationship"	""	""	"id-996995356116460bb837b8dcff56028a"	"id-569573a17fe44acfa47efb2a8f655297"	""
"id-c891b3ace056446490aa8f357afce55b"	"AggregationRelationship"	""	""	"id-996995356116460bb837b8dcff56028a"	"id-9c862f3694224bf68a1ab6cf2de69d43"	""
"id-2d32655b13074954b26261994c38e238"	"AggregationRelationship"	""	""	"id-996995356116460bb837b8dcff56028a"	"id-540f39e5e5054b2e8247b2f30d76b06a"	""
"id-2885fe4242244de989f68b4e42c2444d"	"AggregationRelationship"	""	""	"id-996995356116460bb837b8dcff56028a"	"id-6c5092a485734e05b8f68f26f2652c85"	""
"id-29efa09442514be99b0769534582d425"	"AggregationRelationship"	""	""	"id-8322dc854d0c43b1a5ec14f0103ed14a"	"id-a6e7a34317f344e4ac6e59bf18b257d9"	""
"id-eefdc79832444f7d9d48ec81e47668ce"	"AggregationRelationship"	""	""	"id-8322dc854d0c43b1a5ec14f0103ed14a"	"id-e6c036ea8d2f4cdebd39dbc68d4db7bb"	""
"id-629857d367f84b1e87cce16415a8dc04"	"AggregationRelationship"	""	""	"id-8322dc854d0c43b1a5ec14f0103ed14a"	"id-d6e1cc5025a14ad39c933dfc5e203ee6"	""
"id-b6044358ec18411c8d51675b2ff6b925"	"AggregationRelationship"	""	""	"id-8322dc854d0c43b1a5ec14f0103ed14a"	"id-adb0788125de434fb5f64bf5e3885d44"	""
