"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-aa4a61214aed40f6991cbe5df515cac4","AggregationRelationship","","","id-ea93fd36ab234bf8bed04f1e61ec54ab","id-bf7c3484622440ad85c3270f8b3d656e",""
"id-6b7a5e76ef894e4dace054be9b84ac62","AggregationRelationship","","","id-ea93fd36ab234bf8bed04f1e61ec54ab","id-34fd6363a7fa4330bff4fe96110789d5",""
"id-1e7e3235e1964bb1b669107982acfa83","AggregationRelationship","","","id-996995356116460bb837b8dcff56028a","id-2e18bd8f0ca7425a9d776828f46ffb88",""
"id-b42ea23b0b8741fdb0f37eed51e74cc8","AggregationRelationship","","","id-996995356116460bb837b8dcff56028a","id-ab8cf14ceda14a35a97d69c6499634fb",""
"id-b04030181a9c4b02abfc60dd6ab4f617","AggregationRelationship","","","id-996995356116460bb837b8dcff56028a","id-acc7535f47bc4c6ea753c5b708b65c5d",""
"id-4f481f0817fd481aa38eacfe430d3995","AggregationRelationship","","","id-996995356116460bb837b8dcff56028a","id-569573a17fe44acfa47efb2a8f655297",""
"id-c891b3ace056446490aa8f357afce55b","AggregationRelationship","","","id-996995356116460bb837b8dcff56028a","id-9c862f3694224bf68a1ab6cf2de69d43",""
"id-2d32655b13074954b26261994c38e238","AggregationRelationship","","","id-996995356116460bb837b8dcff56028a","id-540f39e5e5054b2e8247b2f30d76b06a",""
"id-2885fe4242244de989f68b4e42c2444d","AggregationRelationship","","","id-996995356116460bb837b8dcff56028a","id-6c5092a485734e05b8f68f26f2652c85",""
"id-29efa09442514be99b0769534582d425","AggregationRelationship","","","id-8322dc854d0c43b1a5ec14f0103ed14a","id-a6e7a34317f344e4ac6e59bf18b257d9",""
"id-eefdc79832444f7d9d48ec81e47668ce","AggregationRelationship","","","id-8322dc854d0c43b1a5ec14f0103ed14a","id-e6c036ea8d2f4cdebd39dbc68d4db7bb",""
"id-629857d367f84b1e87cce16415a8dc04","AggregationRelationship","","","id-8322dc854d0c43b1a5ec14f0103ed14a","id-d6e1cc5025a14ad39c933dfc5e203ee6",""
"id-b6044358ec18411c8d51675b2ff6b925","AggregationRelationship","","","id-8322dc854d0c43b1a5ec14f0103ed14a","id-adb0788125de434fb5f64bf5e3885d44",""
"id-baefba00490247229f9ed5a726009e80","AggregationRelationship","","","id-c22dd592cd9e473189aa16be778b5aae","id-405e2acf46ee47a39736f671f21fc5d8",""
"id-5dcb5198cdec4d16bab6cb7c3dd2513f","AggregationRelationship","","","id-ca33bb22e8fb43d89fc41c88036f39f4","id-8927b73a93f449a4b4fd9f177a16bab2",""
"id-0880072b8697401c8987e66a5d938ec2","AggregationRelationship","","","id-ca33bb22e8fb43d89fc41c88036f39f4","id-65ff49b52a9048ea86709117725df452",""
"id-94f6841f16744a459772a23a0ad6d0a6","AssignmentRelationship","","","id-6c23fd37287c4ed1a3fc3daac67f5017","id-ed875090cf5d458bb346eec31527bfc4",""
"id-62dc8eed0a8942a0817606226e8c3b85","AssignmentRelationship","","","id-5f4cf514f7024a0199a6bbb8d44336cb","id-199efac4746b402bbc3b3b7eb2932b3a",""
"id-1a7bfde27b6c4ea8aedc25449e60983f","AssignmentRelationship","","","id-5f4cf514f7024a0199a6bbb8d44336cb","id-a95cc901a6954ec192b1b08dabe41111",""
